,geometry,LAYER,MAP_NAME,NAME,min,max,mean,count,std,median
10,"POLYGON Z ((289711.7365427822 5130270.95800933 1181.893310546875, 289716.0506223724 5130270.731917999 1181.8935546875, 289715.5984397105 5130262.103758818 1186.710693359375, 289711.2843601204 5130262.32985015 1185.06494140625, 289711.7365427822 5130270.95800933 1181.893310546875))",Coverage/Quad,User Created Features - Coverage/Quad,11,30026.0,30682.0,30452.075090470447,3316,193.20983385483402,30505.5
11,"POLYGON Z ((289716.0506223724 5130270.731917999 1181.8935546875, 289720.3647019625 5130270.505826668 1181.731323242188, 289719.9125193006 5130261.877667488 1180.973754882812, 289715.5984397105 5130262.103758818 1186.710693359375, 289716.0506223724 5130270.731917999 1181.8935546875))",Coverage/Quad,User Created Features - Coverage/Quad,12,29707.0,30648.0,30256.17048192771,3320,293.7475072989489,30323.0
12,"POLYGON Z ((289720.3647019625 5130270.505826668 1181.731323242188, 289724.6787815526 5130270.279735336 1182.038818359375, 289724.2265988907 5130261.651576158 1181.199584960938, 289719.9125193006 5130261.877667488 1180.973754882812, 289720.3647019625 5130270.505826668 1181.731323242188))",Coverage/Quad,User Created Features - Coverage/Quad,13,29701.0,30558.0,30140.01990950226,3315,267.1981344293514,30156.0
13,"POLYGON Z ((289724.6787815526 5130270.279735336 1182.038818359375, 289728.9928611428 5130270.053644007 1186.759765625, 289728.5406784808 5130261.425484825 1189.457153320312, 289724.2265988907 5130261.651576158 1181.199584960938, 289724.6787815526 5130270.279735336 1182.038818359375))",Coverage/Quad,User Created Features - Coverage/Quad,14,29821.0,30557.0,30293.685990338163,3312,216.46577464155618,30367.0
14,"POLYGON Z ((289728.9928611428 5130270.053644007 1186.759765625, 289733.3069407329 5130269.827552675 1181.736206054688, 289732.854758071 5130261.199393493 1190.29736328125, 289728.5406784808 5130261.425484825 1189.457153320312, 289728.9928611428 5130270.053644007 1186.759765625))",Coverage/Quad,User Created Features - Coverage/Quad,15,29763.0,30557.0,30071.61410913476,3317,221.30296729652216,30028.0
15,"POLYGON Z ((289733.3069407329 5130269.827552675 1181.736206054688, 289737.6210203231 5130269.601461344 1190.54736328125, 289737.1688376612 5130260.973302164 1189.3173828125, 289732.854758071 5130261.199393493 1190.29736328125, 289733.3069407329 5130269.827552675 1181.736206054688))",Coverage/Quad,User Created Features - Coverage/Quad,16,29905.0,30561.0,30311.16681749623,3315,160.93559296480535,30357.0
16,"POLYGON Z ((289737.6210203231 5130269.601461344 1190.54736328125, 289741.9350999132 5130269.375370013 1181.736450195312, 289741.4829172512 5130260.747210834 1182.112182617188, 289737.1688376612 5130260.973302164 1189.3173828125, 289737.6210203231 5130269.601461344 1190.54736328125))",Coverage/Quad,User Created Features - Coverage/Quad,17,29777.0,30542.0,30013.56349924585,3315,185.707037794473,29953.0
17,"POLYGON Z ((289741.9350999132 5130269.375370013 1181.736450195312, 289746.2491795033 5130269.149278684 1180.935302734375, 289745.7969968414 5130260.521119501 1180.198364257812, 289741.4829172512 5130260.747210834 1182.112182617188, 289741.9350999132 5130269.375370013 1181.736450195312))",Coverage/Quad,User Created Features - Coverage/Quad,18,30081.0,30600.0,30355.17338952438,3322,123.12447279079096,30360.0
18,"POLYGON Z ((289706.9702805302 5130262.555941478 1180.68359375, 289711.2843601204 5130262.32985015 1185.06494140625, 289710.8321774584 5130253.701690969 1184.404052734375, 289706.5180978682 5130253.927782301 1179.753295898438, 289706.9702805302 5130262.555941478 1180.68359375))",Coverage/Quad,User Created Features - Coverage/Quad,19,29768.0,30512.0,30227.548143676428,3313,199.1513511411845,30245.0
19,"POLYGON Z ((289711.2843601204 5130262.32985015 1185.06494140625, 289715.5984397105 5130262.103758818 1186.710693359375, 289715.1462570485 5130253.475599638 1183.762939453125, 289710.8321774584 5130253.701690969 1184.404052734375, 289711.2843601204 5130262.32985015 1185.06494140625))",Coverage/Quad,User Created Features - Coverage/Quad,20,29763.0,30683.0,30393.510413522486,3313,247.66841866780888,30474.0
20,"POLYGON Z ((289715.5984397105 5130262.103758818 1186.710693359375, 289719.9125193006 5130261.877667488 1180.973754882812, 289719.4603366386 5130253.249508308 1180.119750976562, 289715.1462570485 5130253.475599638 1183.762939453125, 289715.5984397105 5130262.103758818 1186.710693359375))",Coverage/Quad,User Created Features - Coverage/Quad,21,29636.0,30643.0,30260.042809767863,3317,288.25381360092314,30314.0
21,"POLYGON Z ((289719.9125193006 5130261.877667488 1180.973754882812, 289724.2265988907 5130261.651576158 1181.199584960938, 289723.7744162287 5130253.023416977 1180.475708007812, 289719.4603366386 5130253.249508308 1180.119750976562, 289719.9125193006 5130261.877667488 1180.973754882812))",Coverage/Quad,User Created Features - Coverage/Quad,22,29594.0,30481.0,30027.07214005433,3313,253.10282390426786,30011.0
22,"POLYGON Z ((289724.2265988907 5130261.651576158 1181.199584960938, 289728.5406784808 5130261.425484825 1189.457153320312, 289728.088495819 5130252.797325644 1185.766845703125, 289723.7744162287 5130253.023416977 1180.475708007812, 289724.2265988907 5130261.651576158 1181.199584960938))",Coverage/Quad,User Created Features - Coverage/Quad,23,29625.0,30499.0,30229.20935143288,3315,221.5770642184426,30294.0
23,"POLYGON Z ((289728.5406784808 5130261.425484825 1189.457153320312, 289732.854758071 5130261.199393493 1190.29736328125, 289732.402575409 5130252.571234314 1188.164672851562, 289728.088495819 5130252.797325644 1185.766845703125, 289728.5406784808 5130261.425484825 1189.457153320312))",Coverage/Quad,User Created Features - Coverage/Quad,24,29469.0,30187.0,29812.793497892835,3322,148.50445126939985,29809.0
24,"POLYGON Z ((289732.854758071 5130261.199393493 1190.29736328125, 289737.1688376612 5130260.973302164 1189.3173828125, 289736.7166549991 5130252.345142983 1184.341064453125, 289732.402575409 5130252.571234314 1188.164672851562, 289732.854758071 5130261.199393493 1190.29736328125))",Coverage/Quad,User Created Features - Coverage/Quad,25,29817.0,30367.0,30182.075716440424,3315,114.89077506319843,30205.0
25,"POLYGON Z ((289737.1688376612 5130260.973302164 1189.3173828125, 289741.4829172512 5130260.747210834 1182.112182617188, 289741.0307345893 5130252.119051653 1179.954223632812, 289736.7166549991 5130252.345142983 1184.341064453125, 289737.1688376612 5130260.973302164 1189.3173828125))",Coverage/Quad,User Created Features - Coverage/Quad,26,29668.0,30295.0,29924.87149321267,3315,132.46250302529037,29899.0
26,"POLYGON Z ((289741.4829172512 5130260.747210834 1182.112182617188, 289745.7969968414 5130260.521119501 1180.198364257812, 289745.3448141793 5130251.892960324 1179.2587890625, 289741.0307345893 5130252.119051653 1179.954223632812, 289741.4829172512 5130260.747210834 1182.112182617188))",Coverage/Quad,User Created Features - Coverage/Quad,27,30046.0,30411.0,30275.919807054568,3317,87.80167285426509,30291.0
