,geometry,LAYER,MAP_NAME,NAME,min,max,mean,count,std,median
23,"POLYGON Z ((289728.5406784808 5130261.425484825 1189.457153320312, 289732.854758071 5130261.199393493 1190.29736328125, 289732.402575409 5130252.571234314 1188.164672851562, 289728.088495819 5130252.797325644 1185.766845703125, 289728.5406784808 5130261.425484825 1189.457153320312))",Coverage/Quad,User Created Features - Coverage/Quad,24,359.6640930175781,363.0955810546875,361.2225338397867,3322,1.2367415763462217,361.51666259765625
24,"POLYGON Z ((289732.854758071 5130261.199393493 1190.29736328125, 289737.1688376612 5130260.973302164 1189.3173828125, 289736.7166549991 5130252.345142983 1184.341064453125, 289732.402575409 5130252.571234314 1188.164672851562, 289732.854758071 5130261.199393493 1190.29736328125))",Coverage/Quad,User Created Features - Coverage/Quad,25,359.662841796875,363.0771179199219,361.058742093968,3315,1.2315767972886036,360.8863220214844
25,"POLYGON Z ((289737.1688376612 5130260.973302164 1189.3173828125, 289741.4829172512 5130260.747210834 1182.112182617188, 289741.0307345893 5130252.119051653 1179.954223632812, 289736.7166549991 5130252.345142983 1184.341064453125, 289737.1688376612 5130260.973302164 1189.3173828125))",Coverage/Quad,User Created Features - Coverage/Quad,26,359.5719299316406,362.6170959472656,360.91797222062655,3315,1.2152369055597287,359.9659118652344
26,"POLYGON Z ((289741.4829172512 5130260.747210834 1182.112182617188, 289745.7969968414 5130260.521119501 1180.198364257812, 289745.3448141793 5130251.892960324 1179.2587890625, 289741.0307345893 5130252.119051653 1179.954223632812, 289741.4829172512 5130260.747210834 1182.112182617188))",Coverage/Quad,User Created Features - Coverage/Quad,27,359.20855712890625,362.48321533203125,360.0282673644559,3317,0.7440301752521693,359.7385559082031
27,"POLYGON Z ((289706.5180978682 5130253.927782301 1179.753295898438, 289710.8321774584 5130253.701690969 1184.404052734375, 289710.3799947964 5130245.073531789 1183.480834960938, 289706.0659152063 5130245.299623118 1178.78759765625, 289706.5180978682 5130253.927782301 1179.753295898438))",Coverage/Quad,User Created Features - Coverage/Quad,28,359.285400390625,362.6017761230469,360.0346663213898,3316,0.9206423637550281,359.56932067871094
28,"POLYGON Z ((289710.8321774584 5130253.701690969 1184.404052734375, 289715.1462570485 5130253.475599638 1183.762939453125, 289714.6940743866 5130244.847440458 1188.505493164062, 289710.3799947964 5130245.073531789 1183.480834960938, 289710.8321774584 5130253.701690969 1184.404052734375))",Coverage/Quad,User Created Features - Coverage/Quad,29,359.3563537597656,362.6181335449219,360.9148074544026,3319,1.1979477063280515,361.0655822753906
29,"POLYGON Z ((289715.1462570485 5130253.475599638 1183.762939453125, 289719.4603366386 5130253.249508308 1180.119750976562, 289719.0081539767 5130244.621349127 1179.1162109375, 289714.6940743866 5130244.847440458 1188.505493164062, 289715.1462570485 5130253.475599638 1183.762939453125))",Coverage/Quad,User Created Features - Coverage/Quad,30,359.3719177246094,362.59368896484375,360.3958852614228,3313,1.0159640064207747,359.7516174316406
30,"POLYGON Z ((289719.4603366386 5130253.249508308 1180.119750976562, 289723.7744162287 5130253.023416977 1180.475708007812, 289723.3222335668 5130244.395257796 1179.3603515625, 289719.0081539767 5130244.621349127 1179.1162109375, 289719.4603366386 5130253.249508308 1180.119750976562))",Coverage/Quad,User Created Features - Coverage/Quad,31,359.3361511230469,362.8343505859375,360.7592048426643,3319,1.2561986500558104,360.2074890136719
31,"POLYGON Z ((289723.7744162287 5130253.023416977 1180.475708007812, 289728.088495819 5130252.797325644 1185.766845703125, 289727.6363131569 5130244.169166463 1179.004638671875, 289723.3222335668 5130244.395257796 1179.3603515625, 289723.7744162287 5130253.023416977 1180.475708007812))",Coverage/Quad,User Created Features - Coverage/Quad,32,359.1419372558594,362.8759765625,361.0056354844427,3320,1.3043076343312083,361.56581115722656
32,"POLYGON Z ((289728.088495819 5130252.797325644 1185.766845703125, 289732.402575409 5130252.571234314 1188.164672851562, 289731.9503927472 5130243.943075135 1179.171020507812, 289727.6363131569 5130244.169166463 1179.004638671875, 289728.088495819 5130252.797325644 1185.766845703125))",Coverage/Quad,User Created Features - Coverage/Quad,33,359.1830749511719,362.5943908691406,360.66915454691633,3310,1.1550169814523108,360.5382385253906
