,geometry,LAYER,MAP_NAME,NAME,min,max,mean,count,sum,volume_m3,area_m2
16,"POLYGON Z ((289608.3440724334 5130278.359646692 0, 289613.3410265685 5130278.185149208 0, 289612.9920316015 5130268.191240938 0, 289607.9950774664 5130268.365738422 0, 289608.3440724334 5130278.359646692 0))",Coverage/Quad,User Created Features,20,0.2264404296875,5.319427490234375,3.757469791105424,4437,16671.893463134766,187.6366709497845,49.99999999788722
17,"POLYGON Z ((289613.3410265685 5130278.185149208 0, 289618.3379807036 5130278.010651724 0, 289617.9889857366 5130268.016743454 0, 289612.9920316015 5130268.191240938 0, 289613.3410265685 5130278.185149208 0))",Coverage/Quad,User Created Features,21,1.978912353515625,4.9686279296875,3.6538326439358655,4445,16241.286102294922,182.79032690055442,49.99999999818316
18,"POLYGON Z ((289618.3379807036 5130278.010651724 0, 289623.3349348387 5130277.836154241 0, 289622.9859398717 5130267.842245971 0, 289617.9889857366 5130268.016743454 0, 289618.3379807036 5130278.010651724 0))",Coverage/Quad,User Created Features,22,1.10028076171875,5.09820556640625,3.7530575605473144,4444,16678.587799072266,187.71201349634703,50.000000000347534
19,"POLYGON Z ((289623.3349348387 5130277.836154241 0, 289628.3318889738 5130277.661656758 0, 289627.9828940068 5130267.667748488 0, 289622.9859398717 5130267.842245971 0, 289623.3349348387 5130277.836154241 0))",Coverage/Quad,User Created Features,23,1.132354736328125,5.051788330078125,3.8806422954474287,4441,17233.93243408203,193.96223449094919,50.000000000347534
20,"POLYGON Z ((289628.3318889738 5130277.661656758 0, 289633.3288431089 5130277.487159275 0, 289632.9798481419 5130267.493251004 0, 289627.9828940068 5130267.667748488 0, 289628.3318889738 5130277.661656758 0))",Coverage/Quad,User Created Features,24,0.315643310546875,4.78302001953125,3.1723722251106157,4446,14104.366912841797,158.740005100915,50.000000000347534
21,"POLYGON Z ((289633.3288431089 5130277.487159275 0, 289638.325797244 5130277.31266179 0, 289637.976802277 5130267.31875352 0, 289632.9798481419 5130267.493251004 0, 289633.3288431089 5130277.487159275 0))",Coverage/Quad,User Created Features,25,0.05316162109375,4.83258056640625,2.6910577859964455,4440,11948.296569824219,134.47414337429436,50.00000000037662
22,"POLYGON Z ((289583.0103067909 5130269.238225839 0, 289588.007260926 5130269.063728356 0, 289587.658265959 5130259.069820086 0, 289582.6613118239 5130259.244317569 0, 289583.0103067909 5130269.238225839 0))",Coverage/Quad,User Created Features,28,-0.050872802734375,3.849853515625,1.883113676404878,4441,8362.907836914062,94.12177383740121,50.000000000347534
23,"POLYGON Z ((289588.007260926 5130269.063728356 0, 289593.0042150611 5130268.889230872 0, 289592.6552200941 5130258.895322602 0, 289587.658265959 5130259.069820086 0, 289588.007260926 5130269.063728356 0))",Coverage/Quad,User Created Features,29,0.020050048828125,4.1549072265625,2.105246896953986,4446,9359.927703857422,105.34290412579458,49.99999999788722
24,"POLYGON Z ((289593.0042150611 5130268.889230872 0, 289598.0011691962 5130268.714733388 0, 289597.6521742292 5130258.720825118 0, 289592.6552200941 5130258.895322602 0, 289593.0042150611 5130268.889230872 0))",Coverage/Quad,User Created Features,30,0.049652099609375,4.484466552734375,2.779611939465431,4444,12352.595458984375,139.02439423802824,49.99999999818316
25,"POLYGON Z ((289598.0011691962 5130268.714733388 0, 289602.9981233313 5130268.540235905 0, 289602.6491283643 5130258.546327635 0, 289597.6521742292 5130258.720825118 0, 289598.0011691962 5130268.714733388 0))",Coverage/Quad,User Created Features,31,1.727783203125,4.78192138671875,3.695554006953882,4438,16400.868682861328,184.5863762950199,50.000000000347534
