,UTMX,UTMY
131,289600.5103544575,5130248.215927569
132,289600.60704576573,5130284.558274904
133,289600.09740584134,5130294.182748659
134,289600.2924046761,5130256.41389796
135,289600.2531684684,5130289.573351389
136,289599.6583483371,5130253.060859408
137,289600.2009053474,5130243.16678491
138,289599.4446544891,5130261.985836126
139,289599.2814067311,5130266.493181425
140,289599.0985473471,5130275.721753808
141,289599.0658181182,5130270.9408718515
142,289598.6719013624,5130279.997864004
143,289598.48922983545,5130248.028859549
144,289598.30243840953,5130239.583644823
145,289598.29468768765,5130284.052680496
146,289598.2057309067,5130256.531902484
147,289598.17739040666,5130252.653707365
148,289597.43264093297,5130261.940156537
149,289597.3946970521,5130266.195872209
150,289597.14594195684,5130270.814397948
151,289596.92507229425,5130275.487647536
152,289596.80145265255,5130242.8936725315
153,289596.7267811031,5130280.106514965
154,289596.60872429673,5130284.252172432
155,289596.6992001285,5130239.324089929
156,289596.4228025193,5130289.370878167
157,289596.25779926975,5130248.308238944
158,289595.91739099746,5130252.8568785405
159,289595.9882859729,5130261.693540523
160,289597.0471599294,5130293.916058758
161,289595.4645081876,5130266.475374677
162,289595.19032761524,5130270.651756719
163,289594.9733770389,5130279.688056381
164,289595.1039943549,5130275.381945474
165,289594.3975029367,5130289.142030036
166,289594.6404814283,5130239.167806403
167,289594.47365790897,5130284.3533888
168,289594.1479640243,5130293.686961242
169,289594.24632499286,5130247.642623471
170,289593.86233712884,5130257.3878377
171,289594.125000122,5130261.193843912
172,289593.3381334263,5130270.344138503
173,289593.2051954282,5130266.3045134535
174,289593.69184877793,5130243.026753522
175,289592.63483071927,5130288.922671496
176,289592.7427950687,5130239.904399483
177,289592.5232306886,5130294.457723734
178,289592.3229119371,5130280.123137943
179,289591.9455606084,5130252.523813322
180,289592.87477110926,5130275.145155882
181,289591.8065156375,5130261.180963331
182,289592.3272164542,5130284.147382082
183,289591.8697683946,5130257.2250993075
184,289590.9610019208,5130270.810177833
185,289590.7116913518,5130239.238858502
186,289590.8603704733,5130275.193107467
187,289590.49990198534,5130289.219259276
188,289590.2877919664,5130243.322336475
189,289590.49722664215,5130256.822960877
190,289590.4573394127,5130284.258484791
191,289590.8801958677,5130247.495900788
192,289590.08452580293,5130297.768844526
193,289589.91169085866,5130261.8059614105
194,289589.8270807007,5130252.101205875
195,289590.67232882645,5130266.283480893
196,289589.43278985034,5130270.548880482
197,289588.8354466048,5130288.789028578
198,289588.469551316,5130238.716924509
199,289588.9621788431,5130275.021219554
200,289588.5111827008,5130247.611181509
201,289588.67277213465,5130279.653714101
202,289588.2471334523,5130243.146108612
203,289588.38056052645,5130284.160215702
204,289588.16134918795,5130256.245504678
205,289587.90715109726,5130252.280086289
206,289587.7954198905,5130261.478327606
207,289587.5321042561,5130270.414257837
